language,English,German,French,Italian,Spanish
$1_1a,Not One Step Back,Kein Schritt zurück,La reconquête,Nessun passo indietro,Ni un paso atrás
$1_1b,The Flag Must Fall,Die Flagge muss weg,Ci-gît l'étendard,La bandiera calata,La bandera caerá
$1_2a,Dead in Her Sights,Den Tod vor Augen,La grande faucheuse ,Con la morte nel mirino,En su punto de mira
$1_2b,Defend the Factory,Fabrikverteidigung,La défense de l'usine,Difesa della fabbrica,Defender la fábrica
$1_3a,Breakdown,Zusammenbruch,Char en détresse,Avaria,Avería
$1_3b,Into Red Square,Der Rote Platz,Sur la Place Rouge,Nella Piazza Rossa,A la Plaza Roja
$1_5a,Op. Little Saturn,Op. Kleiner Saturn,Petite Saturne,Operazione Saturnino,Op. Pequeño Saturno
$1_5b,Airfield Ambush,Flugfeld-Hinterhalt,Embuscade,Agguato al campo,Emboscada en aeró.
$2_1a,Mission: Matmata,Mission: Matmata,Mission : Matmata,Missione Matmata,Misión: Matmata
$2_1b,Depot Saboteurs,Lager-Saboteure,Sabotage,Sabotatori di depositi,Sab. de depositos
$2_2a,A Desert Ride,Ein Wüstenritt,Tempête de sable,Una corsa nel deserto,V. por desierto
$2_2b,Raiding the Fortress,Fort-Überfall,La forteresse,Assalto alla fortezza,Asalto a fortaleza
$3_1a,First City to Fall,Die erste Stadt fällt,La première brèche,Una città in bilico,La primera en caer
$3_1b,Underground Passage,Untergrund-Passage,Passage souterrain,Passaggio sotterraneo,Pasaje subterráneo
$3_1c,Surrender at Aachen,Aufgabe bei Aachen,La reddition d'Aix,La resa di Aachen,Aquisgrán se rinde
$3_3a,Come Out Fighting,Kommt raus & kämpft,Lutte pour Tillet,Picchiate duro,A la carga
$3_5a,Road to Remagen,Straße nach Remagen,Vers Remagen ,La strada per Remagen,Camino a Remagen
$3_5b,Last Bridge Standing,Die letzte Brücke,Le dernier pont,L'ultimo ponte,El último puente
$3_5c,Into the Heartland,Im Feindesland,Au coeur de l'enfer,Nel cuore del nemico,En la zona central
$accept,Accept,OK,OK,Accetta,Aceptar
$alliesLost,Allies Lost:,Verlorene Verbündete:,Pertes alliées :,Alleati persi:,Aliados perdidos:
$altFire,Alt Fire,Alt. Feuer,Tir alt.,Fuoco alternativo,Disparo alt.
$altFireTank,Alt Fire (Tank),Alt. Feuer (Panzer),Tir alt. (blindé),Fuoco alt (carro),Disparo alt. (Tanque)
$aimAssist,Aim Assist,Zielhilfe,Aide visée,Mira assistita,Ayuda punt.
$animation,   Animation Reel,     Animationen,      Animation,Ciclo di animazione, Rollo de animación
$artwork,   Artwork,   Grafik,Graphismes,Illustrazioni,Ilustraciones
$easternFront,   Eastern   Front,       Ostfront,     Front   Est,  Fronte  Orientale,  Frente Oriental
$front,Front,Front,Front,Fronte,Frente
$northAfrica,     North   Africa,       Nordafrika,   Afrique   du Nord,       Nord  Africa,  Norte de   África
$africa,Africa,Afrika,Afrique,Africa,África
$westernFront,   Western  Front,      Westfront,    Front   Ouest,Fronte Occidentale, Frente Occidental
$back,Back,Zurück,Retour,Indietro,Atrás
$behindTheScenes,Behind the Scenes,Hinter den Kulissen,Dans les coulisses du jeu,Dietro le quinte,Tras las cámaras
$behindTheScenesCaps,BEHIND THE SCENES,HINTER DEN KULISSEN,DANS LES COULISSES DU JEU,DIETRO LE QUINTE,TRAS LAS CÁMARAS
$buildingSpark,Building Spark,Sparks Gebäude,Bâtiment Spark,Costruire Spark,Edificio de Spark
$screenCalibration,Screen Calibration,Bildanpassung,Calibrage de l'écran,Regolazione schermo,Pantalla de calibración
$calibrationCaps,   CALIBRATION,BILDANPASSUNG,   CALIBRAGE,REGOLAZIONE SCHERMO,CALIBRACIÓN

$calibration1,Please adjust your television screen until,Die Farbbalken unter der roten Linie,Ajustez l'écran de votre téléviseur jusqu'à,Regola lo schermo televisivo in modo che,Ajusta la pantalla de tu televisor hasta que
$calibration2,the color bars beneath the red line are,dürfen kaum noch zu erkennen sein.,ce que les barres de couleur sous la,le barre sotto la linea rossa risultino,las barras de color bajo la línea roja
$calibration3,barely visible.,Dann ist die Grafik optimal eingestellt.,ligne rouge soient à peine visibles.,appena visibili.,no sean apenas visibles.

$change,Change,Ändern,Changer,Cambia,Cambiar
$changeAct,Change Act,Akt wechseln,Changer acte,Cambia atto,Cambiar acto
$changeConfig,Change Config,Konfig. ändern,Changer config,Cambia config,Cambiar config
$changeLevel,Change Level,Level wechseln,Changer niveau,Cambia livello,Cambiar nivel
$cheat1,Big Heads,Große Köpfe,Grosses têtes,Big Heads,Cabezas grandes
$cheat2,Ricochet,Supersoldat,Ricochet,Ricochet,Rebote (jugador)
$cheat3,Head Shots,Volltreffer,En pleine tête,Head Shots,Bajas disp. cabeza
$cheat4,Ricochet (All),Supersoldat (alle),Ricochet (tous),Ricochet (All),Rebote (todos)
$cheat5,Shrink Shot,Schrumpfschuss,Tir rapetissant,Shrinking Soldiers,Soldados reducidos
$cheat6,Dead Eye,Meisterschütze,Dans le mille,One Shot Kills,Bajas de un disp.
$cheat7,Big N' Small,Klein & Groß,Petit et grand,Big N' Small,Grande y pequeño
$cheat8,Cheat 1 (don't translate),Cheat 8,Cheat 1,Cheat 1,Cheat 1 (don't translate)
$cheat9,Cheat 1 (don't translate),Cheat 9,Cheat 1,Cheat 1,Cheat 1 (don't translate)
$cheats,     Cheats,     Cheats,      Codes,     Trucchi,     Cheats
$cheatsCaps,      CHEATS,      CHEATS,CODES DE TRICHE,      TRUCCHI,      CHEATS
$commando,Commando,Kommando,Commando,Commando,Comando
$commandoCaps,COMMANDO,KOMMANDO,COMMANDO,COMMANDO, COMANDO
$continueGame,Continue Game,Spiel fortsetzen,Continuer partie,Riprendi la partita,Continuar partida
$controls,Controls,Steuerung,Commandes,Comandi,Controles
$createNew,New,Neu,Nouv.,Nuovo,Nuevo
$createProfileCaps,CREATE PROFILE,PROFIL ERSTELLEN,CRÉER PROFIL,CREA PROFILO,CREAR PERFIL
$credits,    Credits,    Credits,    Crédits,Riconoscimenti,   Créditos
$delete,Delete,Rücktaste,Suppr.,Elimina,Borrar
$difficulty,Difficulty,Schwierigkeit,Difficulté,Difficoltà,Dificultad
$dishonorable,Dishonorable,Unehrenhaft,Sans honneur,Disonorevole,Deshonroso
$dolby,Dolby ProLogic®II,Dolby ProLogic®II,Dolby ProLogic®II,Dolby ProLogic®II,Dolby ProLogic®II
$dossier,Dossier,Dossier,Dossier,Dossier,Dossier
$dossiers,Dossiers,Dossiers,Dossiers,Dossier,Dossieres
$dossiersCaps,DOSSIERS,DOSSIERS,DOSSIERS,DOSSIER,DOSSIERS
$teaser,Teaser,Teaser,Bande-annonce,Trailer,Tramposo
$easy,Easy,Leicht,Faible,Bassa,Fácil
$enemiesEliminated,Enemies Eliminated:,Ausgeschaltete Gegner:,Ennemis éliminés :,Nemici eliminati:,Enemigos eliminados:
$enterCheat,Enter Cheat,Cheat eingeben,Saisir code,Inserisci trucco,Introducir cheat
$enterNew,Enter New,Neu eingeben,Saisir nouveau,Inserisci nuovo,Escribir nuevo
$extras, Extras, Extras,  Bonus,  Extra, Extras
$extrasCaps,EXTRAS,EXTRAS,BONUS,EXTRA,EXTRAS
$empty,Empty,Leer,Vide,Vuoto,Vacío
$faster,Faster,Schneller,Plus rapide,Veloce,Más rápido
$friendlyFire,Friendly Fire,Teambeschuss,Feu ami,Fuoco amico,Fuego amigo
$gallery,Gallery,Galerie,Galerie,Galleria,Galería
$galleryCaps,GALLERY,GALERIE,GALERIE,GALLERIA,GALERÍA
$hard,Hard,Schwer,Elevée,Alta,Difícil
$healthPacksUsed,Health Packs Used:,Benutzte Erste-Hilfe-Pakete:,Trousses de soins utilisées :,Kit medici usati:,Botiquines usados:
$hintMessages,Hint Messages,Tipp-Nachrichten,Messages d'aide,Messaggi di indizio,Mensajes de ayuda
$hitAccuracy,Hit Accuracy:,Treffergenauigkeit:,Précision de tir :,Precisione:,Precisión de disparo:
$hitsTaken,Hits Taken:,Eingesteckte Treffer:,Tirs essuyés :,Colpi subiti:,Disparos recibidos:
$hybrid,Hybrid,Hybrid,Hybride,Ibrido,Híbrido
$hybridCaps,   HYBRID,  HYBRID,HYBRIDE,   IBRIDO,  HÍBRIDO
