language,English,German,French,Italian,Spanish
$MCNoCardSave,"No memory card (PS2) in MEMORY CARD slot 1. Finest Hour requires 65 KB of free space to save data.

Please insert a memory card (PS2).","Keine Memory Card (PS2) in MEMORY CARD-Steckplatz 1 eingelegt. Finest Hour benötigt 65 KB freien Speicherplatz, um Daten zu speichern.

Bitte legen Sie eine Memory Card (PS2) ein.","Pas de memory card (PS2) dans la fente pour MEMORY CARD N° 1. Le jour de gloire nécessite 65 KB d'espace libre pour sauvegarder les données. 


Insérer une memory card (PS2).

","Nessuna memory card (PS2) inserita nell’ingresso MEMORY CARD 1. L'ora degli Eroi richiede 65 KB di spazio libero per salvare i dati.

Inserire una memoy card (PS2).","No hay memory card (PS2) en la ranura para MEMORY CARD 1. Finest Hour necesita 65 KB de espacio libre para guardar datos.

Inserta una memory card (PS2)."
$MCNoCardLoad,No memory card (PS2) in MEMORY CARD slot 1.,Keine Memory Card (PS2) in MEMORY CARD-Steckplatz 1 eingelegt.,Pas de memory card (PS2) dans la fente pour MEMORY CARD N° 1.,Nessuna memory card (PS2) inserita nell’ingresso MEMORY CARD 1.,No hay memory card (PS2) en la ranura para MEMORY CARD 1.
$MCNoCardSaveContinue,"No memory card (PS2) in MEMORY CARD slot 1. Finest Hour requires 65 KB of free space to save data.

Please insert a memory card (PS2). Continue without saving?","Keine Memory Card (PS2) in MEMORY CARD-Steckplatz 1 eingelegt. Finest Hour benötigt 65 KB freien Speicherplatz, um Daten zu speichern. Bitte legen Sie eine Memory Card (PS2) ein. Ohne Speichern fortfahren?",Pas de memory card (PS2) dans la fente pour MEMORY CARD N° 1. Le jour de gloire nécessite 65 KB d'espace libre pour sauvegarder les données. Insérer une memory card (PS2). Continuer sans sauvegarder ?,Nessuna memoy card (PS2) inserita nell’ingresso MEMORY CARD 1. L'ora degli Eroi richiede 65 KB di spazio libero per salvare i dati. Inserire una memory card (PS2). Continuare senza salvare?,No hay memory card (PS2) en la ranura para MEMORY CARD 1. Finest Hour necesita 65 KB de espacio libre para guardar datos. Inserta una memory card (PS2). ¿Continuar sin guardar?
$MCNoSpace,"Insufficient free space on memory card (PS2) in MEMORY CARD slot 1.

Insert a memory card (PS2) with at least 65 KB of free space.","Ungenügend Speicherplatz auf der Memory Card (PS2) in MEMORY CARD-Steckplatz 1.

Bitte legen Sie eine Memory Card (PS2) mit mindestens 65 KB freiem Speicherplatz ein.","Espace insuffisant sur la memory card (PS2) dans la fente pour MEMORY CARD N° 1.

Insérer une memory card (PS2) avec au moins 65 KB d'espace libre.","Spazio libero insufficiente sulla memory card (PS2) inserita nell’ingresso MEMORY CARD 1.

Inserire una memory card (PS2) con almeno 65 KB di spazio libero.","No hay espacio suficiente libre en la memory card (PS2) de la ranura para MEMORY CARD 1.

 Inserta una memory card (PS2) con al menos 65 KB de espacio libre."
$MCNoSpaceContinue,"Insufficient free space on memory card (PS2) in MEMORY CARD slot 1.

Insert a memory card (PS2) with at least 65 KB of free space, or create some space using the console's internal browser. Continue without saving?","Ungenügend Speicherplatz auf der Memory Card (PS2) in MEMORY CARD-Steckplatz 1.

Bitte legen Sie eine Memory Card (PS2) mit mindestens 65 KB freiem Speicherplatz ein oder schaffen Sie mithilfe des internen Browsers der Konsole Platz. Ohne Speichern fortfahren?","Espace insuffisant sur la memory card (PS2) dans la fente pour MEMORY CARD N° 1.

 Insérer une memory card (PS2) avec au moins 65 KB d'espace libre, ou créer de l'espace libre à l'aide du navigateur interne de la console. Continuer sans sauvegarder ?","Spazio libero insufficiente sulla memory card (PS2) inserita nell’ingresso MEMORY CARD 1.

Inserire una memory card (PS2) con almeno 65KB di memoria libera o creare spazio utilizzando il browser interno della console. Continuare senza salvare?","No hay espacio suficiente libre en la memory card (PS2) de la ranura para MEMORY CARD 1.

Inserta una memory card (PS2) con al menos 65 KB de espacio libre, o crea espacio libre con el navegador interno de la consola. ¿Continuar sin guardar?"
$MCChecking,"Checking memory card (PS2) in MEMORY CARD slot 1.

Do not remove memory card (PS2), controller, or reset/switch off the console.","Memory Card (PS2) in MEMORY CARD-Steckplatz 1 wird überprüft.

Memory Card (PS2) in MEMORY CARD-Steckplatz 1 und Controller nicht entfernen und die Konsole nicht zurückstellen oder abschalten.","Vérification de la memory card (PS2) dans la fente pour MEMORY CARD N° 1.

Ne pas retirer la memory card (PS2) ou la manette, ni redémarrer ou éteindre la console.","Controllo della memory card (PS2) inserita nell’ingresso MEMORY CARD 1.

Non rimuovere la memory card (PS2) né il controller e non resettare/spegnere la console!","Comprobando la memory card (PS2) de la ranura para MEMORY CARD 1.

No extraigas la memory card (PS2) ni el mando. No reinicies ni apagues la consola."
$MCCheckFailed,Memory card (PS2) error! Please check memory card (PS2) in MEMORY CARD slot 1 and try again.,Fehler beim Überprüfen der Memory Card (PS2)! Überprüfen Sie die Memory Card (PS2) in MEMORY CARD-Steckplatz 1 und versuchen Sie es noch einmal.,Erreur de memory card (PS2) ! Vérifier la memory card (PS2) dans la fente pour MEMORY CARD N° 1 et réessayer.,Controllo fallito! Controllare la memory card (PS2) inserita nell’ingresso MEMORY CARD 1 e riprovare.,¡Error al comprobar! Comprueba la memory card (PS2) de la ranura para MEMORY CARD 1 e inténtalo de nuevo.
$MCCheckFailedContinue,"Memory card (PS2) error! Please check memory card (PS2) in MEMORY CARD slot 1. Finest Hour requires 65 KB of free space to save data.

Continue without saving?","Fehler beim Überprüfen der Memory Card (PS2)! Überprüfen Sie die Memory Card (PS2) in MEMORY CARD-Steckplatz 1. Finest Hour benötigt 65 KB freien Speicherplatz, um Daten zu speichern. Ohne Speichern fortfahren?",Erreur de memory card (PS2) ! Vérifier la memory card (PS2) dans la fente pour MEMORY CARD N° 1 et réessayer. Le jour de gloire nécessite 65 KB d'espace libre pour sauvegarder les données. Continuer sans sauvegarder ?,Controllo fallito! Controllare la memory card (PS2) inserita nell’ingresso MEMORY CARD 1 e riprovare. Continuare senza salvare?,¡Error en la memory card (PS2)! Comprueba la memory card (PS2) de la ranura para MEMORY CARD 1 e inténtalo de nuevo. Finest Hour necesita 65 KB de espacio libre para guardar los datos. ¿Continuar sin guardar?
$MCLoading,"Loading data. Do not remove memory card (PS2) in MEMORY CARD slot 1, controller, or reset/switch off console.",Lädt Daten. Memory Card (PS2) in MEMORY CARD-Steckplatz 1 und Controller nicht entfernen und die Konsole nicht zurückstellen oder abschalten.,"Chargement en cours. Ne pas retirer la memory card (PS2) ou la manette, ni redémarrer ou éteindre la console.",Caricamento dati in corso… Non rimuovere la memory card (PS2) nell'ingresso MEMORY CARD 1 né il controller e non resettare/spegnere la console!,Cargando datos. No extraigas la memory card (PS2) de la ranura para MEMORY CARD 1 ni el mando. No reinicies ni apagues la consola.
$MCLoadOK,Load successful.,Laden erfolgreich.,Chargement réussi.,Caricamento completato.,Éxito al cargar.
